KI15bWSYM023	KI15aWSYM005	KI15aWSYM010	KI15aWSYM011	KI15aWSYM012	KI15bSSYM005	KI15bWSYM018	KI15bSSYM009	KI15aSSYM022	KI15bSSYM021	KI15bSSYM024	KI14WSYM004	KI15aSSYM026	KI15aWSYM007	KI15bWSYM001	KI15bWSYM002	KI15bWSYM003	KI15bWSYM007	KI15bWSYM019	KI15bWSYM024	KI14WSYM001	KI14WSYM003	KI14WSYM016	KI15aWSYM013	KI15bWSYM004	KI14WSYM015	KI14WSYM032	KI14SSYM050	KI15bSSYM023	KI15aWSYM009	KI15aWSYM017	KI15aSSYM027	KI14SSYM010	KI14WSYM005	KI14WSYM028	KI14WSYM029	KI14WSYM031	KI15aWSYM020	KI15bWSYM006	KI15aSSYM008	KI15bSSYM014	KI14WSYM030	KI14SSYM015	KI15bSSYM013	KI14SSYM063	KI14SSYM020	KI15aSSYM009	KI15aSSYM013	KI15aSSYM014	KI15aSSYM015	KI15aSSYM019	KI15aSSYM020	KI15aSSYM024	KI15bSSYM004	KI15bSSYM019	KI15bSSYM022	KI15aFSYM087	KI15bFSYM035	KI14FSYM131	KI14FSYM087	KI15aFSYM137	KI14SSYM017	KI14SSYM059	KI15bSSYM012	KI15bSSYM002	KI14SSYM006	KI14WSYM006	KI14WSYM007	KI14WSYM021	KI14WSYM008	KI15bSSYM007	KI14SSYM018	KI14WSYM017	KI15bWSYM008	KI15aWSYM018	KI15bFSYM055	KI15aWSYM019	KI15bWSYM005	KI14SSYM004	KI14SSYM019	KI14SSYM060	KI14SSYM003	KI14SSYM007	KI14SSYM008	KI14SSYM012	KI14SSYM016	KI15bSSYM016	KI14SSYM058	KI15bSSYM018	KI14SSYM061	KI14SSYM005	KI15bFSYM074	KI15bSSYM017	KI15bFSYM049	KI14FSYM007	KI15bSSYM015	KI15aSSYM011	KI15bSSYM006	KI15aSSYM010	KI15bSSYM010	KI15aFSYM129	KI15aFSYM141	KI14FSYM076	KI15aFSYM166	KI15bSSYM001	KI15bFSYM062	KI15aFSYM016	KI15aFSYM017	KI15bFSYM056	KI14FSYM105	KI15aFSYM094	KI15aSSYM016	KI14SSYM011	KI15bFSYM201	KI15bFSYM168	KI14SSYM013	KI14FSYM467	KI15bFSYM051	KI15bFSYM027	KI15bFSYM030	KI15bFSYM144	KI14FSYM149	KI15aSSYM012	KI15bFSYM021	KI15bFSYM028	KI15bSSYM003	KI15bFSYM066	KI15aFSYM101	KI15bFSYM142	KI15aFSYM167	KI14FSYM385	KI15bFSYM211	KI14FSYM050	KI15aFSYM019	KI15bFSYM047	KI14FSYM126	KI15bFSYM058	KI15bFSYM045	KI15aFSYM110	KI15bFSYM017	KI15bFSYM013	KI15bFSYM172	KI15bFSYM070	KI14FSYM456	KI15bFSYM046	KI15aFSYM122	KI15bFSYM152	KI15bFSYM137	KI15aFSYM159	KI15aFSYM003	KI15bFSYM025	KI15aFSYM152	KI14FSYM474	KI15aFSYM021	KI15aFSYM086	KI15aFSYM118	KI15bFSYM161	KI15bFSYM024	KI15bFSYM001	KI15bFSYM060	KI15aFSYM162	KI15bFSYM130	KI15aFSYM022	KI14FSYM453	KI15bFSYM043	KI15aFSYM126	KI15aFSYM138	KI14FSYM001	KI14FSYM003	KI15aFSYM001	KI15aFSYM082	KI14FSYM469	KI15bFSYM003	KI14FSYM002	KI14FSYM005	KI14FSYM009	KI14FSYM012	KI14FSYM013	KI14FSYM015	KI14FSYM041	KI14FSYM043	KI14FSYM044	KI14FSYM060	KI14FSYM069	KI14FSYM084	KI14FSYM088	KI14FSYM090	KI14FSYM092	KI14FSYM094	KI14FSYM097	KI14FSYM098	KI14FSYM102	KI14FSYM106	KI14FSYM107	KI14FSYM109	KI14FSYM129	KI14FSYM132	KI14FSYM133	KI14FSYM134	KI14FSYM137	KI14FSYM140	KI14FSYM142	KI14FSYM143	KI14FSYM144	KI14FSYM147	KI14FSYM151	KI14FSYM265	KI14FSYM387	KI14FSYM448	KI14FSYM468	KI14FSYM476	KI15aFSYM004	KI15aFSYM005	KI15aFSYM006	KI15aFSYM007	KI15aFSYM008	KI15aFSYM009	KI15aFSYM011	KI15aFSYM013	KI15aFSYM083	KI15aFSYM084	KI15aFSYM089	KI15aFSYM090	KI15aFSYM091	KI15aFSYM095	KI15aFSYM099	KI15aFSYM100	KI15aFSYM102	KI15aFSYM106	KI15aFSYM108	KI15aFSYM109	KI15aFSYM111	KI15aFSYM114	KI15aFSYM117	KI15aFSYM120	KI15aFSYM121	KI15aFSYM127	KI15aFSYM128	KI15aFSYM130	KI15aFSYM133	KI15aFSYM135	KI15aFSYM140	KI15aFSYM143	KI15aFSYM144	KI15aFSYM147	KI15aFSYM148	KI15aFSYM149	KI15aFSYM155	KI15aFSYM157	KI15aFSYM158	KI15aFSYM161	KI15aFSYM165	KI15bFSYM004	KI15bFSYM005	KI15bFSYM009	KI15bFSYM010	KI15bFSYM012	KI15bFSYM014	KI15bFSYM016	KI15bFSYM018	KI15bFSYM029	KI15bFSYM034	KI15bFSYM036	KI15bFSYM037	KI15bFSYM040	KI15bFSYM044	KI15bFSYM052	KI15bFSYM054	KI15bFSYM059	KI15bFSYM063	KI15bFSYM071	KI15bFSYM073	KI15bFSYM129	KI15bFSYM133	KI15bFSYM141	KI15bFSYM143	KI15bFSYM145	KI15bFSYM146	KI15bFSYM150	KI15bFSYM154	KI15bFSYM155	KI15bFSYM158	KI15bFSYM159	KI15bFSYM160	KI15bFSYM165	KI15bFSYM170	KI15bFSYM173	KI15bFSYM174	KI15bFSYM175	KI15bFSYM176	KI15bFSYM180	KI15bFSYM181	KI15bFSYM182	KI15bFSYM183	KI15bFSYM199	KI15bFSYM208	KI15bFSYM209	KI15bFSYM210	KI15aFSYM093	KI15aFSYM136	KI15bFSYM135	KI14FSYM136	KI15aFSYM132	KI15aFSYM154	KI15bFSYM134	KI14FSYM451	KI15bFSYM041	KI14FSYM063	KI15bFSYM128	KI14FSYM135	KI14FSYM008	KI15bFSYM064	KI15aFSYM107	KI15aFSYM085	KI15aFSYM010	KI15bFSYM006	KI15aFSYM146	KI15aFSYM131
denovo2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo30781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo38593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	76	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	62	78	0	0	0	0	0	55	0	0	0	0	115	0	0	3	0	0	0	0	0	0	0	64	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	65	1	144	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	143	49	0	0	0	0	0	0	0	63	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	87	68	0	84	0	0	0	0	0	0	0	2	0	0	0	0	0	115	0	0	79	64	0	0	0	0	93	0	0	0	26	0	0	0	148	0	75	0	0	187	77	0	0	182	250	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo24171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo8064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo38787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	54	0	3	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1058	115	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	95	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
denovo18772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo18770	18	0	15	0	2	253	17	24	0	0	0	30	5	0	50	23	52	11	0	0	21	0	130	3	129	83	12	55	0	9	167	79	0	0	17	17	68	143	14	38	30	0	76	2	252	96	41	44	28	15	5	2	66	65	0	0	0	0	0	0	0	68	538	0	561	0	20	13	20	20	62	200	28	71	106	7097	163	0	21	61	96	17	0	0	47	113	0	1078	234	38	127	5	67	2	0	107	86	0	1104	76	0	0	0	0	54	0	0	0	163	0	0	555	8	29	0	0	27	20252	0	0	0	0	252	4	0	105	0	0	0	4	9	0	2	0	1524	0	197	73	0	0	0	0	0	0	0	0	0	6711	0	0	0	3	17	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5625	0	0	0	2	0	0	0	0	0	0	0	0	0	19	0	0	0	4	0	0	0	22	0	7	0	0	36	0	147	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	1	13339	8	0	1	0	0	11	0	0	1	0	0	0	29	0	0	1	0	2549	5417	45	0	110	0	0	0	0	1	0	13	0	0	468	0	0	0	1	0	0	0	3	0	9	0	1	0	0	0	0	9	604	3	0	0	4	0	0	0	2	0	0	0	0	0	0	6853	0	0	0	14	2	0
denovo5869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo18111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo14314	0	0	0	0	0	0	0	0	56	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo5982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo19527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo42538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
